営業者氏名,郵便番号,営業所所在地,営業所所在地ビル名,営業所電話番号,屋号,業種,業態,指令番号県記号,指令番号発令記号,指令番号（許可番号）,許可終了日,許可・交付日,初年度許可・交付日
株式会社　ジョイフル,812-0853,福岡市博多区東平尾一丁目１８２番１号,,092-624-3566,並木街珈琲　博多の森店,飲食店営業,一般食堂,福,博保衛,31010931,2026/6/30,2020/4/6,2020/4/6
株式会社　杉養蜂園,812-0003,福岡市博多区大字下臼井７７８番地１号,福岡空港国内線旅客ターミナルビル　２Ｆ　ＣＬ－０９００,092-627-3838,杉養蜂園　福岡空港国内線ターミナル店,喫茶店営業,一般,福,博保衛,31230080,2026/6/30,2020/4/6,2020/4/6
株式会社トラヤチェーン,810-0001,福岡市中央区天神二丁目９番１０９号,新天町北通り１Ｆ,092-781-5202,味噌汁おとら,飲食店営業,一般食堂,福,中保衛,31011068,2026/6/30,2020/4/6,2020/4/6
,810-0004,福岡市中央区渡辺通三丁目６番２８号,オレンジハウス２０２,,ＬＩＧＨＴＳ　ＶＥＧＡＮ　ＴＥＡＭ,飲食店営業,弁当屋,福,中保衛,31011091,2026/6/30,2020/4/6,2020/4/6
,810-0004,福岡市中央区渡辺通三丁目６番２８号,オレンジハウス２０２,,ＬＩＧＨＴＳ　ＶＥＧＡＮ　ＴＥＡＭ,そうざい製造業,なし,福,中保衛,31570011,2026/6/30,2020/4/6,2020/4/6
,810-0004,福岡市中央区渡辺通三丁目６番２８号,オレンジハウス２０２,,ＬＩＧＨＴＳ　ＶＥＧＡＮ　ＴＥＡＭ,菓子製造業,一般,福,中保衛,31050148,2026/6/30,2020/4/6,2020/4/6
有限会社トーブ,814-0175,福岡市早良区田村一丁目９番１号,,092-863-1801,有限会社　トーブ,食品の冷凍又は冷蔵業,なし,福,早保衛,31190003,2026/6/30,2020/4/6,2020/4/6
有限会社トーブ,814-0175,福岡市早良区田村一丁目９番１号,,092-863-1801,有限会社　トーブ,食肉製品製造業,なし,福,早保衛,31350001,2026/6/30,2020/4/6,2020/4/6
株式会社ハブ,810-0041,福岡市中央区大名二丁目１番７号,シエルブルー大名１Ｆ,092-739-8682,ＨＵＢ福岡大名店,飲食店営業,一般食堂,福,中保衛,31011048,2026/6/30,2020/4/7,2020/4/7
,815-0031,福岡市南区清水四丁目８番１号,岡部ビル１０２号,,吉祥料理,飲食店営業,一般食堂,福,南保衛,31010165,2026/6/30,2020/4/7,2020/4/7
,814-0015,福岡市早良区室見一丁目１番３号,１Ｆ,092-400-1177,ＢＯＯＮ,飲食店営業,一般食堂,福,早保衛,31010139,2026/6/30,2020/4/7,2020/4/7
金輝合同会社,812-0053,福岡市東区箱崎一丁目３０番１０号,,092-287-4408,小ナタ麻辣タン,飲食店営業,一般食堂,福,東保衛,32010008,2026/6/30,2020/4/8,2020/4/8
ハーモナイズ・エンターテイメントサービス　株式会社,810-0801,福岡市博多区中洲三丁目７番１５号,ＴＭ－３０ビル　４階,092-282-3027,艶やかに華やかにｗｉｔｈＴｅａｒＤｒｏｐ,飲食店営業,カフェー,福,博保衛,32010010,2026/6/30,2020/4/8,2020/4/8
,810-0005,福岡市中央区清川二丁目１１番３３号,仲西ビル５Ｆ,092-710-4580,うたあしび,飲食店営業,一般食堂,福,中保衛,32010007,2026/6/30,2020/4/8,2020/4/8
株式会社イムズ,810-0041,福岡市中央区大名一丁目８番３３号,大名エイトビル２Ｆ,092-401-1123,牛タン焼専門店　ヨコマサ,飲食店営業,一般食堂,福,中保衛,31011108,2026/6/30,2020/4/8,2020/4/8
,810-0041,福岡市中央区大名二丁目２番４１号,サンライフ大名１Ｆ,092-725-0293,茶寮　さくらさくら,飲食店営業,一般食堂,福,中保衛,32010008,2026/6/30,2020/4/8,2020/4/8
,810-0021,福岡市中央区今泉一丁目３番１号,ＴＹビル１０１,092-406-6891,Ｃｅｒｎｉａ,食肉販売業,一般,福,中保衛,32330003,2026/6/30,2020/4/8,2020/4/8
,814-0001,福岡市早良区百道浜二丁目９０２－１,,092-400-9999,ＭＡＲＩＺＯＮ　ＦＯＯＤ　ＣＯＵＲＴ,飲食店営業,一般食堂,福,早保衛,32010001,2026/6/30,2020/4/8,2020/4/8
株式会社ミウラ,813-0011,福岡市東区香椎四丁目１８番１５号,,092-515-3245,喜造,飲食店営業,一般食堂,福,東保衛,31010234,2026/6/30,2020/4/9,2020/4/9
株式会社　ＳｍｉｌｅＦｏｏｄ,810-0801,福岡市博多区中洲三丁目７番２４号,ゲイツビル　７階,050-5434-4451,博多水炊き　大和,飲食店営業,一般食堂,福,博保衛,32010012,2026/6/30,2020/4/9,2020/4/9
,810-0801,福岡市博多区中洲二丁目２番１０号,第１１ラインビル　地下１階　００１号,092-272-0320,１ｓｔａｒｚ,飲食店営業,バー,福,博保衛,31010962,2026/6/30,2020/4/9,2020/4/9
株式会社　西村商店,810-0801,福岡市博多区中洲一丁目４番１７号,田中ビル　１階,092-262-8399,幸ちゃんラーメン　中洲店,飲食店営業,一般食堂,福,博保衛,31010954,2026/6/30,2020/4/9,2020/4/9
株式会社Ｒ企画,810-0003,福岡市中央区春吉三丁目２４番２８号,セシル晴好２階,092-713-0700,春吉倶楽部,飲食店営業,バー,福,中保衛,32010002,2026/6/30,2020/4/9,2020/4/9
,810-0002,福岡市中央区西中洲５番３４号,ホワイトビル１Ｆ,092-791-4099,酒楽　真帆,飲食店営業,バー,福,中保衛,32010013,2026/6/30,2020/4/9,2020/4/9
合資会社崎三,815-0081,福岡市南区那の川一丁目１６番４号,,092-534-6272,焼とり　崎三,飲食店営業,一般食堂,福,南保衛,32010003,2026/6/30,2020/4/9,2020/4/9
,814-0123,福岡市城南区長尾五丁目９番１１号,,092-985-3846,ながお麹ｃａｆｅレッドクローバー,菓子製造業,一般,福,城保衛,31050014,2026/6/30,2020/4/9,2020/4/9
ＬＯＶＥトウェンティセブン株式会社,819-0379,福岡市西区北原一丁目２番１号,,092-836-7977,Ｑｕｉｃｋｔｅａイオン伊都店,飲食店営業,主として喫茶,福,西保衛,32010002,2026/6/30,2020/4/9,2020/4/9
株式会社サングリン,819-0051,福岡市西区下山門団地４０番２号,,092-891-4305,スーパーサングリンパンスタジオ,飲食店営業,一般食堂,福,西保衛,32010003,2026/6/30,2020/4/9,2020/4/9
株式会社　Ｓｏｌａ　Ｆａｃｔｏｒｙ,812-0021,福岡市博多区築港本町１３番６号,ベイサイドプレイス博多　Ｃ館　２Ｆ,092-409-0830,Ｓｏｌａ　Ｆａｃｔｏｒｙ　ｃｏ．,菓子製造業,一般,福,博保衛,32050001,2026/6/30,2020/4/10,2020/4/10
株式会社　ＨＴインターナショナル,812-0016,福岡市博多区博多駅南六丁目８番３０号,トピレック博多　１Ｆ　１０１号,,禾道,飲食店営業,一般食堂,福,博保衛,31010952,2026/6/30,2020/4/10,2020/4/10
有限会社　エフケイ・マリン,812-0017,福岡市博多区美野島三丁目１５番１３－１０３号,,,食事処，呑み処　しま,飲食店営業,一般食堂,福,博保衛,32010009,2026/6/30,2020/4/10,2020/4/10
,812-0007,福岡市博多区東比恵四丁目６番３３号,,092-409-6081,ＦＡＫＥ　ＩＴ　ＣＯＦＦＥＥ,喫茶店営業,一般,福,博保衛,31230082,2026/6/30,2020/4/10,2020/4/10
,810-0073,福岡市中央区舞鶴二丁目２番６号,マイヅルプレイス１Ｆ,092-713-7122,喫茶フローラル,飲食店営業,一般食堂,福,中保衛,32010016,2026/6/30,2020/4/10,2020/4/10
株式会社スドー,810-0003,福岡市中央区春吉三丁目１１番１９号,パノラマスクエア博多１０７,092-287-8015,焼肉すどう　春吉,食肉販売業,一般,福,中保衛,32330004,2026/6/30,2020/4/10,2020/4/10
,810-0012,福岡市中央区白金一丁目１７番１５号,アレグリア白金１Ｆ,092-406-7090,松尾,飲食店営業,一般食堂,福,中保衛,31011110,2026/6/30,2020/4/10,2020/4/10
株式会社越後屋,810-0001,福岡市中央区天神二丁目１１番１号,福岡パルコ本館Ｂ１Ｆ,092-707-1106,しんぱち食堂,飲食店営業,一般食堂,福,中保衛,31011086,2026/6/30,2020/4/10,2020/4/10
株式会社鈴木洋装店,810-0074,福岡市中央区大手門三丁目２番２６号,田中ビル１０２号,092-406-9626,ＨＡＫＫＯ食堂,飲食店営業,一般食堂,福,中保衛,32010014,2026/6/30,2020/4/10,2020/4/10
株式会社 桝元,812-0063,福岡市東区原田三丁目６番２２号,１Ｆ,,桝元 原田店,飲食店営業,一般食堂,福,東保衛,32010006,2026/6/30,2020/4/13,2020/4/13
株式会社 桝元,812-0063,福岡市東区原田三丁目６番２２号,１Ｆ,,こんぺい亭 原田店,飲食店営業,一般食堂,福,東保衛,32010005,2026/6/30,2020/4/13,2020/4/13
,810-0801,福岡市博多区中洲四丁目２番５号,第２２ラインビル　１階～３階,092-263-0038,もつ鍋　芋　中洲店,飲食店営業,一般食堂,福,博保衛,32010014,2026/6/30,2020/4/13,2020/4/13
株式会社　Ｂ．Ｅ．Ｔ,812-0013,福岡市博多区博多駅東二丁目１番２４号,ギャラリー博多ビル　４Ｆ,092-477-2577,清州七七・漁火,食肉販売業,一般,福,博保衛,32330004,2026/6/30,2020/4/13,2020/4/13
,810-0003,福岡市中央区春吉二丁目９番１号,ファロ・ディ・ハルヨシⅡ　１－Ｃ,092-753-7311,ＥＬ　ＣＡＳＴＩＬＬＯ,飲食店営業,一般食堂,福,中保衛,32010012,2026/6/30,2020/4/13,2020/4/13
,810-0041,福岡市中央区大名一丁目１１番２３号,クレアビル１Ｆ,092-771-5566,博多赤もんたん,飲食店営業,一般食堂,福,中保衛,32010010,2026/6/30,2020/4/13,2020/4/13
株式会社ひよこ,810-0001,福岡市中央区天神二丁目７番２２号,左衛門ビル地下１Ｆ,092-714-0317,地下のくじら,飲食店営業,一般食堂,福,中保衛,32010011,2026/6/30,2020/4/13,2020/4/13
,811-1362,福岡市南区長住二丁目２３番３２－１０３号,,092-512-7074,Ｃｕｒｅ　Ｃａｆｅ,飲食店営業,一般食堂,福,南保衛,31010150,2026/6/30,2020/4/13,2020/4/13
,814-0104,福岡市城南区別府一丁目２２番１０号,エステートモア別府１０１,092-287-5162,だしと日本酒　たてつ,飲食店営業,一般食堂,福,城保衛,31010055,2026/6/30,2020/4/13,2020/4/13
株式会社クプロ,812-0063,福岡市東区原田三丁目６番２２号,,092-624-1062,らーめん屋 鳳凛 原田店,飲食店営業,一般食堂,福,東保衛,31010247,2026/6/30,2020/4/14,2020/4/14
佐藤　株式会社,812-0888,福岡市博多区板付五丁目１６番３号,,092-574-2929,佐藤株式会社　肉や,食肉販売業,一般,福,博保衛,31330052,2026/6/30,2020/4/14,2020/4/14
佐藤　株式会社,812-0888,福岡市博多区板付五丁目１６番３号,,092-574-2929,佐藤株式会社　肉や,飲食店営業,そうざい,福,博保衛,31010927,2026/6/30,2020/4/14,2020/4/14
株式会社カイタックトレーディング,810-0023,福岡市中央区警固一丁目１５番３８号,カイタックスクエアガーデン１Ｆ,,ＰＡＮＹＡ　ＡＳＨＩＹＡ　福岡,菓子製造業,パン,福,中保衛,31050145,2026/6/30,2020/4/14,2020/4/14
Ｒｉｃｅｂｉｒｄ株式会社,810-0044,福岡市中央区六本松四丁目５番３９号,ピア２１　１０１,092-406-5663,清喜　ひとしな,飲食店営業,一般食堂,福,中保衛,32010026,2026/6/30,2020/4/14,2020/4/14
Ｒｉｃｅｂｉｒｄ株式会社,810-0044,福岡市中央区六本松四丁目５番３９号,ピア２１　１０１,092-406-5663,清喜　ひとしな,食肉販売業,一般,福,中保衛,32330005,2026/6/30,2020/4/14,2020/4/14
株式会社アップエス,810-0023,福岡市中央区警固一丁目１５番３８号,カイタックスクエアガーデン４Ｆ,092-721-0892,鉄板焼　三ヶ森,飲食店営業,一般食堂,福,中保衛,31011092,2026/6/30,2020/4/14,2020/4/14
,813-0019,福岡市東区みなと香椎三丁目１番１号,ベジフルスタジアム１２４,092-682-2155,ローストビーフひだまり,飲食店営業,一般食堂,福,東保衛,32010010,2026/6/30,2020/4/15,2020/4/15
,812-0044,福岡市博多区千代一丁目１７番１号,パピヨン２４　Ｂ１Ｆ,,ｃａｆｅ　ｄｅ　ボヌール,飲食店営業,一般食堂,福,博保衛,31010929,2026/6/30,2020/4/15,2020/4/15
株式会社　重松ビル,810-0801,福岡市博多区中洲二丁目５番５号,中洲第一ビル　４階　４０９号,,亜洲里,飲食店営業,カフェー,福,博保衛,31010911,2026/6/30,2020/4/15,2020/4/15
株式会社　ｔｒｉｐｌｅ・Ｆ,812-0895,福岡市博多区竹下四丁目１６番７号,上野ビル　１F,092-471-9103,お好み焼き　鉄板焼き　ひなや　竹下店,飲食店営業,一般食堂,福,博保衛,32010013,2026/6/30,2020/4/15,2020/4/15
,810-0021,福岡市中央区今泉一丁目１３番２７号,サンスペースビル４Ｆ,092-738-4700,ＢＡＲ　ＪＥＷＥＬ,飲食店営業,バー,福,中保衛,32010034,2026/6/30,2020/4/15,2020/4/15
株式会社絶頂天,810-0001,福岡市中央区天神四丁目４番３０号,新郷ビル２階,092-741-0552,パブリックスペース　四次元,飲食店営業,バー,福,中保衛,32010009,2026/6/30,2020/4/15,2020/4/15
Ｒｉｃｅｂｉｒｄ株式会社,810-0014,福岡市中央区平尾一丁目１０番２０号,ＢＲＡＭＡＳＯＬＥｈｉｒａｏ１Ａ,092-522-6611,清喜,飲食店営業,一般食堂,福,中保衛,32010024,2026/6/30,2020/4/15,2020/4/15
,819-0006,福岡市西区姪浜駅南二丁目１９番２２号,プレッソ姪浜１Ｆ,092-892-6677,豊前中津とよからあげ　姪浜店,飲食店営業,弁当屋,福,西保衛,32010006,2026/6/30,2020/4/15,2020/4/15
,819-0006,福岡市西区姪浜駅南二丁目１９番２２号,プレッソ姪浜１Ｆ,092-892-6677,豊前中津とよからあげ　姪浜店,そうざい製造業,なし,福,西保衛,32570002,2026/6/30,2020/4/15,2020/4/15
,811-0213,福岡市東区和白丘二丁目３番９-１０１号,,092-606-3601,ｃｈｉｉｓｅｇｏｏ,飲食店営業,一般食堂,福,東保衛,32010013,2026/6/30,2020/4/16,2020/4/16
,811-0213,福岡市東区和白丘一丁目１番１４号,,092-606-6111,清香園 和白店,食肉販売業,一般,福,東保衛,32330003,2026/6/30,2020/4/16,2020/4/16
合資会社　ＨＢＣ,810-0801,福岡市博多区中洲四丁目７番１４号,バンビ館　６階,092-262-5569,ＨＩＬＬＢＩＬＬｙ　ＣＡＴＳ,飲食店営業,バー,福,博保衛,32010028,2026/6/30,2020/4/16,2020/4/16
,812-0014,福岡市博多区比恵町１１番３０号,２Ｆ,,ロッソ,飲食店営業,仕出し,福,博保衛,32010022,2026/6/30,2020/4/16,2020/4/16
イオン九州　株式会社,812-0011,福岡市博多区博多駅前四丁目２９番１５号,,092-402-0515,マックスバリュエクスプレス博多消防署通り店,飲食店営業,そうざい,福,博保衛,32010011,2026/6/30,2020/4/16,2020/4/16
イオン九州　株式会社,812-0011,福岡市博多区博多駅前四丁目２９番１５号,,092-402-0515,マックスバリュエクスプレス博多消防署通り店,菓子製造業,一般,福,博保衛,32050003,2026/6/30,2020/4/16,2020/4/16
合同会社ホワイトグローブ,810-0016,福岡市中央区平和三丁目９番１８号,ラミナスコート１Ｆ,092-523-3888,ＳＮＡＣＫ　ＳＥＡＳＯＮ　ＨＥＩＷＡ,飲食店営業,バー,福,中保衛,32010032,2026/6/30,2020/4/16,2020/4/16
株式会社ＲＩＶＥＲ　ＦＯＯＤ,810-0002,福岡市中央区西中洲４番６号,リップルビル１０５,092-791-3333,マーキュリー,飲食店営業,一般食堂,福,中保衛,32010027,2026/6/30,2020/4/16,2020/4/16
,811-1361,福岡市南区西長住一丁目１２番２５号,,092-554-1115,清香園　西長住店,食肉販売業,一般,福,南保衛,32330001,2026/6/30,2020/4/16,2020/4/16
,815-0033,福岡市南区大橋一丁目８番２１号,大橋西口ビル２Ｆ,092-555-8086,Ｌｉｎｋ,飲食店営業,一般食堂,福,南保衛,31010163,2026/6/30,2020/4/16,2020/4/16
株式会社長崎屋,819-0041,福岡市西区拾六町一丁目７番１号,,092-884-8011,ＭＥＧＡドン・キホーテ福重店　惣菜作業室,飲食店営業,そうざい,福,西保衛,32010004,2026/6/30,2020/4/16,2020/4/16
株式会社長崎屋,819-0041,福岡市西区拾六町一丁目７番１号,,092-884-8011,ＭＥＧＡドン・キホーテ福重店　米飯作業室,飲食店営業,弁当屋,福,西保衛,32010005,2026/6/30,2020/4/16,2020/4/16
有限会社東武食研,813-0044,福岡市東区千早五丁目１４番４１号,,092-692-1616,もつ処 上田商店,食肉販売業,一般,福,東保衛,32330002,2026/6/30,2020/4/17,2020/4/17
株式会社ナカシロ,813-0017,福岡市東区香椎照葉五丁目２番１５号,,092-683-1010,照葉スパリゾート,飲食店営業,一般食堂,福,東保衛,32010002,2026/6/30,2020/4/17,2020/4/17
,812-0053,福岡市東区箱崎四丁目７番５３号,,092-643-6377,清香園 箱崎店,食肉販売業,一般,福,東保衛,32330005,2026/6/30,2020/4/17,2020/4/17
,812-0063,福岡市東区原田四丁目３２番４５号,,092-624-7220,清香園 原田店,食肉販売業,一般,福,東保衛,32330004,2026/6/30,2020/4/17,2020/4/17
株式会社　Ｓｏｌａ　Ｆａｃｔｏｒｙ,812-0021,福岡市博多区築港本町１３番６号,ベイサイドプレイス博多　Ｃ館　２Ｆ,092-409-0830,Ｓｏｌａ　Ｆａｃｔｏｒｙ　Ｃｏ．,そうざい製造業,なし,福,博保衛,32570001,2026/6/30,2020/4/17,2020/4/17
有限会社アールジャパン,810-0001,福岡市中央区天神三丁目１６番１５号,サンヨウビル１Ｆ,,担々麺あづま屋天神店,飲食店営業,一般食堂,福,中保衛,32010015,2026/6/30,2020/4/17,2020/4/17
株式会社ビーザ・ワン,810-0001,福岡市中央区天神二丁目７番１２号,フジヨシビル１Ｆ,,焼肉ライク天神店,飲食店営業,一般食堂,福,中保衛,32010019,2026/6/30,2020/4/17,2020/4/17
,810-0041,福岡市中央区大名一丁目３番３３号,Ｄａｉｍｙｏ５９１ビル　１Ｆ,092-707-3078,磯飯倶楽部,魚介類販売業,一般,福,中保衛,32130003,2026/6/30,2020/4/17,2020/4/17
,814-0022,福岡市早良区原六丁目２９番２６号,,092-400-1313,あびる珈琲,飲食店営業,一般食堂,福,早保衛,32010002,2026/6/30,2020/4/17,2020/4/17
,812-0884,福岡市博多区寿町三丁目１番４号,２Ｆ,092-581-0988,＠＿ｙａｙａ,飲食店営業,バー,福,博保衛,32010032,2026/6/30,2020/4/20,2020/4/20
ＵＮＩＯＮ　ＰＲＯＶＩＳＩＯＮＳ株式会社,810-0023,福岡市中央区警固一丁目１５番３８号,カイタックスクエア３Ｆ（Ｗ３０４）,,ＧＯＬＤＥＮ　ＢＲＯＷＮ　ＦＵＫＵＯＫＡ,飲食店営業,一般食堂,福,中保衛,31011069,2026/6/30,2020/4/20,2020/4/20
,810-0014,福岡市中央区平尾一丁目１２番２２号,大正館薬院南１０１,092-406-2210,どんぶり酒場　どんどん,飲食店営業,一般食堂,福,中保衛,31011093,2026/6/30,2020/4/20,2020/4/20
株式会社ふく処油山山荘,810-0002,福岡市中央区西中洲４番３号,ＡＴＥ西中洲ビル２０１号,092-731-1071,油山山荘　檸,飲食店営業,一般食堂,福,中保衛,32010028,2026/6/30,2020/4/20,2020/4/20
有限会社どらごんフーズ,810-0023,福岡市中央区警固一丁目１５番２７号,,092-731-4783,焼肉どらごん警固本店,食肉販売業,一般,福,中保衛,32330008,2026/6/30,2020/4/20,2020/4/20
有限会社なりたけ,814-0002,福岡市早良区西新四丁目４番８号,たぐせん西新ビル　１Ｆ,,らーめん　なりたけ　福岡西新店,飲食店営業,一般食堂,福,早保衛,32010009,2026/6/30,2020/4/20,2020/4/20
株式会社　エスポワール,812-0044,福岡市博多区千代四丁目２９番３０号,ふろうかんビル　１Ｆ,092-643-0234,しまうまカフェ　Ｆｉｋａ,菓子製造業,一般,福,博保衛,31050075,2026/6/30,2020/4/21,2020/4/21
株式会社　エスポワール,812-0044,福岡市博多区千代四丁目２９番３０号,ふろうかんビル　１Ｆ,092-643-0234,しまうまカフェ　Ｆｉｋａ,飲食店営業,一般食堂,福,博保衛,31010907,2026/6/30,2020/4/21,2020/4/21
株式会社ミールマックス,811-1364,福岡市南区中尾三丁目９番１２号,,092-541-6080,ミールアソシエ中尾,飲食店営業,一般食堂,福,南保衛,32010006,2026/6/30,2020/4/21,2020/4/21
株式会社匠フーズ,819-0055,福岡市西区生の松原三丁目１８番８号,,092-881-1331,さくら食堂,飲食店営業,一般食堂,福,西保衛,31010126,2026/6/30,2020/4/21,2020/4/21
,813-0013,福岡市東区香椎駅前二丁目２番６号,,,珈琲小林,飲食店営業,一般食堂,福,東保衛,32010014,2026/6/30,2020/4/22,2020/4/22
株式会社　コシダカ,812-0013,福岡市博多区博多駅東二丁目４番６号,ハカタベビル　４・５Ｆ,092-402-0370,カラオケまねきねこ　博多駅前店,飲食店営業,一般食堂,福,博保衛,31010971,2026/6/30,2020/4/22,2020/4/22
,812-0013,福岡市博多区博多駅東二丁目３番２９号,東福博多駅東ビル　１Ｆ　１０３号,092-481-8330,ＭＡＬＯＮ,飲食店営業,バー,福,博保衛,32010029,2026/6/30,2020/4/22,2020/4/22
株式会社　サムズアップ,812-0006,福岡市博多区上牟田二丁目１２番２３号,,092-481-6667,清香園,食肉販売業,一般,福,博保衛,32330007,2026/6/30,2020/4/22,2020/4/22
,810-0005,福岡市中央区清川三丁目２６番１８号,第２那の川ビル２Ｆ,092-522-8000,女番星,飲食店営業,バー,福,中保衛,32010053,2026/6/30,2020/4/22,2020/4/22
株式会社ＴＩＣ,810-0041,福岡市中央区大名一丁目１２番３８号,岩戸屋ビル３Ｆ,092-791-4076,元気が出る居酒屋　よだれ屋,飲食店営業,一般食堂,福,中保衛,32010038,2026/6/30,2020/4/22,2020/4/22
,810-0023,福岡市中央区警固一丁目１５番３８号,カイタックスクエアガーデン３Ｆ,,ｂｏｒｄｅｒ,飲食店営業,バー,福,中保衛,31011076,2026/6/30,2020/4/22,2020/4/22
株式会社夢屋,810-0023,福岡市中央区警固二丁目１６番２０号,朝日プラザ赤坂１Ｆ,092-734-2277,焼ジビエ　罠,食肉販売業,一般,福,中保衛,32330009,2026/6/30,2020/4/22,2020/4/22
株式会社ＳＯＬ　ＦＡＭＩＬＩＡ,810-0041,福岡市中央区大名一丁目１４番５号,有光ビル２０２,092-791-6708,Cafe del SOL,飲食店営業,一般食堂,福,中保衛,32010056,2026/6/30,2020/4/22,2020/4/22
,814-0133,福岡市城南区七隈四丁目８番１７号,大原マンション１Ｆ,,浜焼太郎くまちゃん,飲食店営業,一般食堂,福,城保衛,31010061,2026/6/30,2020/4/22,2020/4/22
合同会社福岡渡邊商店,814-0005,福岡市早良区祖原１４番２０号,,092-846-2288,Ｆｉｓｈ　Ｓｃｈｏｏｌ,飲食店営業,弁当屋,福,早保衛,32010006,2026/6/30,2020/4/22,2020/4/22
,819-0042,福岡市西区壱岐団地１３７番２号,壱岐団地センターＤ３,092-812-0789,食堂　はちきん,飲食店営業,弁当屋,福,西保衛,32010009,2026/6/30,2020/4/22,2020/4/22
,812-0053,福岡市東区箱崎一丁目３２番３１号,左棟１Ｆ,,＆ ｃｈｏｕｅｔｔｅ,菓子製造業,一般,福,東保衛,32050001,2026/6/30,2020/4/23,2020/4/23
カステリアダイニング　株式会社,812-0011,福岡市博多区博多駅前三丁目７番９号,田宮ビル　３Ｆ,,カステリア,飲食店営業,一般食堂,福,博保衛,32010040,2026/6/30,2020/4/23,2020/4/23
ＨＡＲＲＹ　合同会社,812-0016,福岡市博多区博多駅南四丁目１８番２号,明東ビル　１Ｆ　１０３号,092-710-5540,Ｏｈａｎａ,飲食店営業,バー,福,博保衛,32010036,2026/6/30,2020/4/23,2020/4/23
,812-0018,福岡市博多区住吉二丁目４番７号,レジデンス博多　１１０号,092-271-4774,和・ふぉーた,食肉販売業,一般,福,博保衛,32330006,2026/6/30,2020/4/23,2020/4/23
,810-0014,福岡市中央区平尾四丁目４番１６号,アイヴェール平尾１０１号室,092-401-0922,割烹すし　のりを,飲食店営業,すし屋,福,中保衛,31011074,2026/6/30,2020/4/23,2020/4/23
,810-0042,福岡市中央区赤坂三丁目７番１１号,,,Ｖｅｎｔｉ,飲食店営業,一般食堂,福,中保衛,31011082,2026/6/30,2020/4/23,2020/4/23
有限会社藤,815-0035,福岡市南区向野二丁目４番２号,,092-289-2127,ほっともっと大橋店,飲食店営業,弁当屋,福,南保衛,32010002,2026/6/30,2020/4/23,2020/4/23
,814-0163,福岡市早良区干隈三丁目１番２号,,092-407-9796,まごころ弁当　早良区本店,飲食店営業,弁当屋,福,早保衛,32010008,2026/6/30,2020/4/23,2020/4/23
,819-0052,福岡市西区下山門三丁目１番１６号,,092-881-1380,焼肉　清香園,食肉販売業,一般,福,西保衛,32330003,2026/6/30,2020/4/23,2020/4/23
,812-0876,福岡市博多区昭南町一丁目１番８号,メゾン博多　１F,,ＰＬＡＴＩＮＵＭ　２ｎｄ,飲食店営業,バー,福,博保衛,31010963,2026/6/30,2020/4/24,2020/4/24
,810-0801,福岡市博多区中洲二丁目７番９号,第一スコッチ桂和　４階　全号室,092-262-0201,Ｂａｒ　Ｕｎｉｏｎ,飲食店営業,バー,福,博保衛,32010023,2026/6/30,2020/4/24,2020/4/24
,812-0024,福岡市博多区綱場町５番２３号,ウィステリア綱場　２０１号,092-282-1285,ル・コントワール・ドゥブルヴェ,飲食店営業,一般食堂,福,博保衛,31010965,2026/6/30,2020/4/24,2020/4/24
,812-0895,福岡市博多区竹下四丁目３番２０号,,,博多食処　やわらぎ,飲食店営業,一般食堂,福,博保衛,32010045,2026/6/30,2020/4/24,2020/4/24
ディライト株式会社,810-0023,福岡市中央区警固一丁目６番４５号,,092-733-0690,ＷＥＥＫＥＮＤ　ＨＯＵＳＥ,飲食店営業,一般食堂,福,中保衛,32010006,2026/6/30,2020/4/24,2020/4/24
,810-0002,福岡市中央区西中洲１０番３号,Ｎビル１Ｆ,092-406-4437,Ｒｅｓｔａｕｒａｎｔ　Ａｒéｎａ,そうざい製造業,なし,福,中保衛,32570001,2026/6/30,2020/4/24,2020/4/24
,810-0004,福岡市中央区渡辺通二丁目９番１８号,白花ビル１０３,,酒飯輝,飲食店営業,一般食堂,福,中保衛,32010050,2026/6/30,2020/4/24,2020/4/24
,810-0003,福岡市中央区春吉三丁目１１番４号,,,博多屋台春吉ラーメン,飲食店営業,一般食堂,福,中保衛,32010001,2026/6/30,2020/4/24,2020/4/24
株式会社フォーティツゥ,810-0011,福岡市中央区高砂二丁目１５番２８号,第８ダイヨシビル１階Ｂ,092-521-8560,喫茶コティー,飲食店営業,一般食堂,福,中保衛,32010043,2026/6/30,2020/4/24,2020/4/24
,811-1346,福岡市南区老司二丁目１４番１９号,サンワコービル１０３,092-565-4224,海鮮居酒屋ひげちゃん,飲食店営業,一般食堂,福,南保衛,32010010,2026/6/30,2020/4/24,2020/4/24
株式会社ＧＷＳ,815-0033,福岡市南区大橋一丁目１６番５号１Ｆ,,092-561-2611,とりかわみつます,飲食店営業,一般食堂,福,南保衛,32010009,2026/6/30,2020/4/24,2020/4/24
,815-0042,福岡市南区若久六丁目８番２４号,,,健康焼肉　亀（ススム）,食肉販売業,一般,福,南保衛,32330002,2026/6/30,2020/4/24,2020/4/24
有限会社プロムナード,815-0042,福岡市南区若久四丁目１番１７号１Ｆ,,092-551-6666,ピザポケット福岡南店,飲食店営業,仕出し,福,南保衛,31010175,2026/6/30,2020/4/24,2020/4/24
